No.,Q1,Q2,Q3,Q4,Q5,Q6,OC1,OC2,OC3,OC4,OC5,PSS1,PSS2,PSS3,PSS4,PSS5,JS1,JS2,JS3,JS4,JS5,JP1,JP2,JP3
212,3,2,3,3,1,2,4,5,5,5,4,5,5,5,4,5,5,5,5,4,5,4,4,4
213,1,2,2,2,1,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4
214,2,1,2,2,0,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
215,1,2,1,1,1,4,4,5,4,4,5,4,4,4,5,4,5,4,4,4,4,5,5,5
216,2,2,2,2,1,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,5,4,4
217,2,2,1,2,1,4,4,4,5,4,5,5,5,4,5,5,4,4,4,4,5,5,5,5
218,3,1,3,2,1,4,5,5,5,5,2,5,5,4,5,5,5,4,4,4,4,4,4,4
219,2,2,2,2,0,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,5,5
220,2,1,2,3,1,3,4,4,4,4,4,4,5,5,5,5,4,4,4,5,4,5,5,5
221,1,2,2,3,1,3,4,5,5,5,4,4,4,4,4,5,4,5,4,4,4,4,4,4
222,2,2,1,2,1,4,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,4,5
223,1,2,2,3,0,2,4,4,3,4,3,4,4,5,4,4,5,4,4,4,4,4,4,4
224,1,2,2,2,0,3,5,4,4,4,3,4,4,4,4,4,4,4,4,4,5,4,4,5
225,1,1,2,2,1,4,4,4,4,4,4,5,5,5,4,5,4,4,4,4,4,5,5,5
226,2,2,1,2,0,4,5,4,5,5,5,4,5,4,4,4,5,5,5,4,5,4,4,4
227,1,2,1,1,0,4,5,5,5,4,4,5,5,5,5,4,4,4,4,4,4,5,5,5
228,2,1,2,2,1,4,4,3,4,4,3,4,4,5,4,4,5,4,4,4,4,4,3,4
229,2,2,1,2,1,4,5,4,4,4,5,5,5,5,4,5,5,5,5,5,4,4,4,4
230,1,2,1,1,1,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4
231,2,2,1,2,1,4,4,4,4,4,3,4,4,4,4,5,4,4,3,4,4,4,4,4
232,2,2,2,3,1,2,5,4,4,4,5,4,4,4,4,4,5,5,5,4,5,4,4,4
233,2,1,1,2,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
234,1,2,2,2,0,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,4,4,3
235,4,1,3,2,1,3,4,4,4,4,5,5,5,5,4,5,5,5,5,4,5,4,4,4
236,3,2,3,3,1,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,4
237,2,2,1,1,1,4,5,5,5,5,4,4,4,4,4,4,4,5,4,4,4,5,4,4
238,3,2,3,3,1,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4
239,1,2,1,1,0,4,5,5,5,4,5,4,4,4,4,5,5,5,4,5,5,4,4,4
240,1,2,2,2,1,4,4,4,4,5,4,4,4,4,5,4,5,5,5,4,5,4,4,4
241,1,2,2,2,0,3,4,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,4,4
242,1,2,1,1,1,4,5,5,5,5,5,4,5,4,4,4,4,5,4,4,4,4,5,4
243,2,2,2,3,1,3,4,4,4,4,3,4,4,3,4,4,3,3,4,3,3,4,3,4
244,1,2,2,2,0,4,5,4,5,5,5,4,4,5,4,4,4,4,4,5,4,4,4,5
245,2,1,2,2,1,4,4,4,4,4,5,5,5,5,4,5,4,4,4,4,4,4,4,4
246,1,2,1,1,1,4,4,4,4,5,4,4,4,4,4,5,5,5,5,5,4,5,4,5
247,1,1,1,1,0,4,4,4,4,5,4,5,5,5,5,4,3,4,4,4,4,4,5,4
248,1,2,2,2,1,4,5,4,5,5,4,5,4,5,5,5,5,5,5,5,4,4,4,4
249,1,2,1,1,1,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5
250,2,2,2,3,1,3,4,4,4,3,4,4,4,4,4,5,4,4,5,4,4,4,4,4
251,1,2,1,2,1,4,5,5,5,5,4,4,5,4,4,4,5,5,5,4,5,5,4,4
252,1,2,2,2,0,4,5,5,5,5,4,4,4,5,4,4,5,4,5,5,5,5,5,5
253,1,2,1,2,1,4,5,4,5,5,3,4,4,5,4,4,4,4,4,4,4,4,4,5
254,2,2,2,3,1,3,4,4,5,4,5,4,4,4,4,4,5,5,4,5,5,4,4,5
255,2,2,2,2,1,4,4,5,5,5,5,5,5,5,5,5,4,5,4,4,4,4,4,5
256,2,2,2,3,1,2,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4
257,2,2,1,1,0,4,4,3,3,3,2,3,2,3,3,3,3,4,4,4,4,3,3,4
258,2,2,2,2,1,4,4,4,5,4,3,4,4,4,4,3,4,4,4,4,5,4,4,4
259,1,1,2,2,0,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,5,4,4,4
260,2,2,2,2,1,4,4,4,4,4,4,5,5,4,5,5,5,5,5,5,4,4,4,4
261,1,2,2,3,1,2,3,4,4,4,4,5,4,5,5,5,5,5,5,5,4,5,5,5
262,1,1,1,1,0,4,4,4,4,4,4,5,5,5,5,4,4,4,4,5,4,4,4,4
263,2,2,1,2,0,4,5,5,5,5,5,4,4,5,4,4,5,5,5,4,5,5,5,5
