No,Gender,Marital status,Age,Education,Position,AC1,AC2,AC3,AC4,AC5,AC6,CC1,CC2,CC3,CC4,CC5,CC6,NC1,NC2,NC3,NC4,NC5,NC6,OCB1,OCB2,OCB3,OCB4,OCB5,OCB6,OCB7,OCB8,JP1,JP2,JP3,JP4
33,Male,Married,25-35,College,Manager/Leader,5,6,5,6,5,5,5,6,4,5,6,6,5,5,5,4,4,5,5,6,5,5,6,5,5,4,6,5,4,4
34,Female,Married,25-35,High School,Manager/Leader,3,4,4,4,3,3,2,4,2,3,1,3,5,5,4,2,3,4,5,4,5,6,5,4,4,2,5,7,2,1
35,Male,Married,36-45,College,Manager/Leader,4,4,6,7,7,7,6,6,6,6,6,7,7,7,7,7,7,7,4,7,4,6,4,4,4,4,4,6,6,5
36,Male,Married,36-45,University,Manager/Leader,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,4,4,5,5,5
37,Male,Married,46-55,University,Worker,5,5,5,5,5,4,3,5,5,6,5,4,5,4,5,5,5,6,4,4,4,4,4,2,5,4,5,3,6,5
38,Male,Married,>55,Master,Worker,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,7,7,7,7,5,6,5,5
39,Male,Married,>55,Master,Worker,4,4,4,4,3,3,3,3,3,4,3,3,3,3,4,2,3,3,4,4,4,4,3,3,4,3,4,5,3,3
40,Female,Married,25-35,High School,Chief/Deputy Chief of Staff,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,4,4,4,4,5,3,5,5
41,Male,Married,36-45,University,Employee,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,6,6,6,6,7,7,7,7
42,Male,Married,36-45,University,Employee,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6
43,Male,Married,46-55,University,Worker,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
44,Male,Married,36-45,University,Employee,5,5,5,5,6,6,7,7,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,6,7,7,7,6,6,5
45,Male,Married,46-55,University,Worker,5,5,5,3,4,3,5,5,5,5,5,5,6,4,4,4,4,4,6,6,4,4,4,4,4,4,5,5,5,5
46,Male,Married,>55,University,Worker,6,6,6,6,6,5,6,6,6,6,5,5,6,6,6,6,6,6,6,6,5,5,5,5,5,5,6,5,5,6
47,Male,Married,25-35,College,Manager/Leader,6,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,6,5,6,5,6,6,6
48,Male,Married,46-55,University,Employee,4,3,4,4,5,4,7,7,6,6,6,7,5,5,5,5,6,5,4,6,6,6,5,5,5,5,5,4,5,2
49,Male,Married,>55,Master,Worker,6,6,6,5,5,4,6,5,5,4,5,5,4,4,6,6,4,6,5,5,5,5,5,5,5,5,6,5,5,5
50,Male,Married,36-45,University,Manager/Leader,6,6,6,5,5,6,6,6,6,6,6,6,7,7,6,6,6,6,7,7,7,7,7,6,7,7,6,6,6,6
51,Male,Married,36-45,University,Employee,5,5,5,3,4,4,6,6,6,6,6,6,3,3,5,5,3,3,5,6,6,6,5,3,4,3,5,5,4,4
52,Male,Married,>55,University,Worker,5,5,5,7,6,6,6,5,6,5,6,5,5,5,5,6,6,6,5,5,5,4,3,3,3,3,6,5,6,6
53,Male,Married,>55,University,Worker,5,4,4,4,5,4,4,4,4,4,4,5,4,4,5,4,4,5,5,4,4,5,4,4,4,5,5,5,5,5
54,Male,Married,36-45,University,Manager/Leader,4,5,4,4,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,6,4,4,5,4,5,5,5,5
55,Male,Married,>55,Master,Worker,3,3,3,4,5,5,5,4,5,5,5,5,6,6,6,4,6,5,4,6,4,4,2,5,5,4,6,3,3,2
56,Female,Married,25-35,College,Manager/Leader,5,5,5,5,6,6,7,7,7,6,7,7,5,5,6,5,6,6,5,7,5,5,7,6,6,7,7,2,5,6
57,Male,Married,36-45,University,Employee,5,6,6,6,5,5,7,7,7,7,7,6,7,6,7,7,6,6,5,5,5,5,5,6,5,4,5,6,6,4
58,Male,Married,>55,University,Worker,5,4,4,4,5,4,4,4,4,4,4,5,4,4,5,4,4,5,5,4,4,5,4,4,4,5,5,5,5,5
59,Female,Married,25-35,High School,Chief/Deputy Chief of Staff,4,4,3,3,4,5,5,3,3,2,3,2,5,3,5,4,4,5,5,5,7,3,5,4,5,5,5,7,2,1
60,Male,Married,46-55,University,Worker,6,7,6,6,2,2,5,5,5,5,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6
61,Female,Married,25-35,High School,Manager/Leader,7,7,7,7,6,6,6,6,6,6,6,7,6,5,5,2,6,2,6,6,6,6,6,6,6,6,7,5,7,7
62,Male,Married,>55,University,Worker,4,5,5,3,4,5,4,5,4,4,4,5,6,6,4,4,5,5,5,6,6,4,4,5,5,6,5,6,6,4
63,Female,Married,25-35,High School,Chief/Deputy Chief of Staff,3,3,4,3,3,3,4,4,4,5,4,5,5,3,4,3,4,3,6,5,5,5,5,5,5,5,5,6,6,4
64,Male,Married,36-45,University,Manager/Leader,5,5,5,3,3,7,3,5,5,5,5,5,5,5,4,4,6,6,5,5,5,5,5,6,6,5,5,6,3,5
65,Male,Married,46-55,University,Worker,5,4,4,4,4,3,4,4,3,3,3,4,4,4,2,1,2,2,3,3,3,3,3,3,2,3,3,3,3,3
66,Male,Married,36-45,College,Manager/Leader,5,5,5,5,5,5,7,7,6,6,6,6,5,5,5,5,5,5,5,6,4,6,5,5,5,5,5,5,6,4
67,Male,Married,46-55,University,Worker,5,5,4,4,6,6,4,6,5,5,5,6,5,4,5,4,5,5,5,5,5,4,5,5,4,5,5,4,5,5
68,Male,Married,25-35,College,Manager/Leader,5,5,5,5,5,5,5,6,6,6,6,6,5,5,6,5,6,5,5,5,5,6,4,4,4,4,6,5,5,5
69,Male,Married,36-45,College,Manager/Leader,6,6,6,6,4,6,6,6,6,6,7,7,5,5,7,7,6,6,6,6,5,5,5,6,5,2,5,5,4,6
70,Male,Married,36-45,University,Manager/Leader,2,4,4,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,3,4,4,5,4,4
71,Male,Married,>55,Doctorate,Worker,5,5,5,5,6,6,5,5,5,5,5,5,5,4,5,5,5,5,5,6,6,5,6,4,5,5,6,6,6,6
72,Female,Single,25-35,High School,Board of Directors,6,6,6,6,6,6,5,6,5,6,5,6,6,4,6,6,6,5,7,7,7,6,6,5,6,6,6,6,6,6
73,Female,Married,25-35,High School,Manager/Leader,3,3,3,3,3,3,4,4,4,5,5,5,5,4,3,3,4,3,4,5,5,5,4,5,4,4,5,5,3,3
74,Female,Single,18-24,High School,Board of Directors,6,6,6,7,6,6,5,6,5,5,5,5,5,5,6,3,4,5,3,5,4,5,5,6,4,5,5,5,5,5
75,Female,Married,25-35,High School,Chief/Deputy Chief of Staff,3,3,4,3,3,4,4,4,4,5,5,5,3,3,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4
76,Male,Married,36-45,College,Manager/Leader,4,4,4,3,3,4,3,5,5,5,5,5,4,4,5,5,5,5,4,4,4,4,4,4,4,4,5,4,4,4
77,Female,Single,25-35,High School,Board of Directors,3,5,5,5,3,7,3,3,3,3,5,3,5,5,5,3,5,6,4,5,5,5,3,5,6,5,5,4,3,6
78,Male,Married,36-45,University,Manager/Leader,7,7,7,6,7,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
79,Male,Married,36-45,University,Employee,6,6,6,6,4,6,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6
80,Male,Married,46-55,University,Worker,4,4,5,4,6,6,5,6,6,6,6,6,3,2,3,2,2,3,5,5,5,4,3,3,5,3,5,4,6,5
81,Male,Married,>55,Master,Worker,6,6,6,6,6,6,5,5,5,4,5,5,6,6,5,3,4,6,4,7,6,5,1,1,1,1,5,4,5,5
